Date,Total crimes per day,Total homicides per day,Total drug related crimes per day
2014-01-01,488,2,17
2014-01-02,387,0,23
2014-01-03,427,0,28
2014-01-04,368,0,23
2014-01-05,320,0,13
2014-01-06,393,1,16
2014-01-07,376,0,10
2014-01-08,430,0,29
2014-01-09,392,0,29
2014-01-10,465,0,27
2014-01-11,395,3,15
2014-01-12,369,1,19
2014-01-13,399,2,11
2014-01-14,457,1,29
2014-01-15,452,0,16
2014-01-16,496,0,16
2014-01-17,426,0,20
2014-01-18,454,1,12
2014-01-19,390,1,9
2014-01-20,391,1,22
2014-01-21,380,0,19
2014-01-22,420,0,21
2014-01-23,426,1,19
2014-01-24,473,0,19
2014-01-25,465,0,17
2014-01-26,405,0,11
2014-01-27,432,0,22
2014-01-28,385,1,24
2014-01-29,375,0,7
2014-01-30,376,1,17
2014-01-31,365,0,6
2014-02-01,493,0,18
2014-02-02,361,0,8
2014-02-03,393,0,28
2014-02-04,397,0,20
2014-02-05,439,0,29
2014-02-06,393,0,28
2014-02-07,407,1,10
2014-02-08,385,0,9
2014-02-09,365,0,24
2014-02-10,451,0,29
2014-02-11,373,0,20
2014-02-12,472,0,33
2014-02-13,417,0,16
2014-02-14,514,3,23
2014-02-15,477,0,14
2014-02-16,386,2,20
2014-02-17,415,0,29
2014-02-18,437,0,16
2014-02-19,404,0,19
2014-02-20,386,0,21
2014-02-21,458,0,30
2014-02-22,412,0,17
2014-02-23,367,0,9
2014-02-24,373,0,17
2014-02-25,389,0,22
2014-02-26,382,0,21
2014-02-27,422,0,14
2014-02-28,397,0,11
2014-03-01,444,0,11
2014-03-02,385,1,17
2014-03-03,383,0,27
2014-03-04,417,0,22
2014-03-05,418,1,21
2014-03-06,467,1,25
2014-03-07,458,0,17
2014-03-08,417,0,14
2014-03-09,378,0,16
2014-03-10,401,1,21
2014-03-11,402,0,25
2014-03-12,419,1,22
2014-03-13,383,2,13
2014-03-14,487,1,24
2014-03-15,441,0,15
2014-03-16,355,0,11
2014-03-17,406,0,21
2014-03-18,386,0,15
2014-03-19,513,0,31
2014-03-20,393,1,10
2014-03-21,412,1,17
2014-03-22,423,0,12
2014-03-23,402,2,28
2014-03-24,437,0,16
2014-03-25,410,0,16
2014-03-26,366,0,9
2014-03-27,494,0,22
2014-03-28,498,0,13
2014-03-29,402,0,6
2014-03-30,338,0,6
2014-03-31,352,0,20
2014-04-01,423,0,23
2014-04-02,390,0,19
2014-04-03,443,0,30
2014-04-04,409,1,13
2014-04-05,426,0,18
2014-04-06,409,1,17
2014-04-07,422,0,18
2014-04-08,402,1,19
2014-04-09,391,0,14
2014-04-10,453,0,14
2014-04-11,447,1,18
2014-04-12,481,0,18
2014-04-13,353,0,12
2014-04-14,367,0,23
