Date,Price of Medium Quality,MedQN,Total crimes per day,Total homicides per day,Total drug related crimes per day
2014-01-01,193.56,12812,488,2,17
2014-02-01,192.8,13406,493,0,18
2014-03-01,192.97,13906,444,0,11
2014-04-01,192.91,14527,423,0,23
2014-05-01,191.89,15047,446,0,25
2014-06-01,192.27,15588,367,0,1
2014-07-01,191.94,16092,423,0,21
2014-08-01,191.58,16665,474,1,14
2014-09-01,191.35,17060,378,1,17
2014-10-01,190.91,17373,446,1,14
2014-11-01,191.04,17780,475,0,13
2014-12-01,190.25,18472,428,0,13
2014-01-02,193.56,12836,387,0,23
2014-02-02,192.73,13424,361,0,8
2014-03-02,193.02,13926,385,1,17
2014-04-02,192.95,14541,390,0,19
2014-05-02,191.86,15059,425,0,25
2014-06-02,192.22,15608,394,1,16
2014-07-02,192.02,16109,395,0,22
2014-09-02,191.34,17065,411,0,25
2014-10-02,190.92,17380,398,0,16
2014-11-02,190.96,17796,370,0,12
2014-12-02,190.24,18498,357,0,15
2014-01-03,193.57,12853,427,0,28
2014-02-03,192.78,13447,393,0,28
2014-03-03,192.98,13940,383,0,27
2014-04-03,192.96,14566,443,0,30
2014-05-03,191.84,15079,380,0,18
2014-06-03,192.22,15626,403,0,17
2014-07-03,192.02,16122,416,0,23
2014-08-03,191.59,16702,385,0,17
2014-09-03,191.33,17072,385,2,14
2014-10-03,190.93,17394,451,0,15
2014-11-03,190.94,17815,364,0,8
2014-12-03,190.24,18526,330,0,7
2014-01-04,193.59,12884,368,0,23
2014-02-04,192.87,13465,397,0,20
2014-03-04,192.98,13964,417,0,22
2014-04-04,192.83,14590,409,1,13
2014-05-04,191.82,15098,357,1,8
2014-06-04,192.26,15646,471,0,16
2014-07-04,191.96,16136,387,1,18
2014-08-04,191.62,16719,376,0,8
2014-09-04,191.29,17085,473,0,32
2014-10-04,190.88,17407,484,0,17
2014-11-04,190.88,17843,396,0,20
2014-12-04,190.16,18553,357,0,8
2014-01-05,193.63,12902,320,0,13
2014-02-05,192.87,13486,439,0,29
2014-03-05,193.02,13984,418,1,21
2014-04-05,192.89,14605,426,0,18
2014-05-05,191.81,15117,388,0,19
2014-06-05,192.24,15665,415,0,15
2014-07-05,191.96,16149,393,0,12
2014-08-05,191.59,16734,377,1,11
2014-09-05,191.26,17093,442,0,19
2014-10-05,190.86,17413,432,0,8
2014-11-05,190.83,17871,418,1,18
2014-12-05,190.15,18575,441,0,5
2014-01-06,193.57,12918,393,1,16
2014-02-06,192.91,13510,393,0,28
2014-03-06,192.99,14007,467,1,25
2014-04-06,192.87,14625,409,1,17
2014-05-06,192.7,15132,426,0,19
2014-06-06,192.23,15684,419,0,9
2014-07-06,191.92,16167,366,2,7
2014-08-06,191.61,16743,430,1,22
2014-09-06,191.22,17106,433,0,10
2014-10-06,190.84,17430,396,0,5
2014-11-06,190.77,17905,404,1,14
2014-12-06,190.11,18594,395,0,7
2014-01-07,193.51,12945,376,0,10
2014-02-07,192.9,13531,407,1,10
2014-03-07,192.93,14026,458,0,17
2014-04-07,192.86,14642,422,0,18
2014-05-07,192.68,15156,368,1,15
2014-06-07,192.23,15694,382,0,19
2014-07-07,191.87,16190,450,1,20
2014-08-07,191.55,16757,455,1,30
2014-09-07,191.25,17118,353,1,16
2014-10-07,190.86,17437,459,0,10
2014-11-07,190.76,17925,433,2,13
2014-12-07,190.14,18618,362,0,5
2014-01-08,193.53,12955,430,0,29
2014-02-08,192.92,13550,385,0,9
2014-03-08,192.95,14044,417,0,14
2014-04-08,192.79,14663,402,1,19
2014-05-08,192.67,15173,355,0,16
2014-06-08,192.2,15709,307,0,5
2014-07-08,191.86,16208,388,0,19
2014-08-08,191.54,16773,511,0,27
2014-09-08,191.2,17129,398,0,16
2014-10-08,190.86,17443,393,1,15
2014-11-08,190.71,17949,423,0,13
2014-12-08,190.17,18638,398,0,8
2014-01-09,193.54,12980,392,0,29
2014-02-09,192.92,13568,365,0,24
2014-03-09,193.01,14057,378,0,16
2014-04-09,192.78,14683,391,0,14
2014-05-09,192.62,15192,409,0,8
2014-06-09,192.16,15720,361,0,11
2014-07-09,191.88,16232,446,1,14
