Date,Price of Medium Quality,MedQN
2014-01-01,193.56,12812
2014-02-01,192.8,13406
2014-03-01,192.97,13906
2014-04-01,192.91,14527
2014-05-01,191.89,15047
2014-06-01,192.27,15588
2014-07-01,191.94,16092
2014-08-01,191.58,16665
2014-09-01,191.35,17060
2014-10-01,190.91,17373
2014-11-01,191.04,17780
2014-12-01,190.25,18472
2014-01-02,193.56,12836
2014-02-02,192.73,13424
2014-03-02,193.02,13926
2014-04-02,192.95,14541
2014-05-02,191.86,15059
2014-06-02,192.22,15608
2014-07-02,192.02,16109
2014-09-02,191.34,17065
2014-10-02,190.92,17380
2014-11-02,190.96,17796
2014-12-02,190.24,18498
2014-01-03,193.57,12853
2014-02-03,192.78,13447
2014-03-03,192.98,13940
2014-04-03,192.96,14566
2014-05-03,191.84,15079
2014-06-03,192.22,15626
2014-07-03,192.02,16122
2014-08-03,191.59,16702
2014-09-03,191.33,17072
2014-10-03,190.93,17394
2014-11-03,190.94,17815
2014-12-03,190.24,18526
2014-01-04,193.59,12884
2014-02-04,192.87,13465
2014-03-04,192.98,13964
2014-04-04,192.83,14590
2014-05-04,191.82,15098
2014-06-04,192.26,15646
2014-07-04,191.96,16136
2014-08-04,191.62,16719
2014-09-04,191.29,17085
2014-10-04,190.88,17407
2014-11-04,190.88,17843
2014-12-04,190.16,18553
2014-01-05,193.63,12902
2014-02-05,192.87,13486
2014-03-05,193.02,13984
2014-04-05,192.89,14605
2014-05-05,191.81,15117
2014-06-05,192.24,15665
2014-07-05,191.96,16149
2014-08-05,191.59,16734
2014-09-05,191.26,17093
2014-10-05,190.86,17413
2014-11-05,190.83,17871
2014-12-05,190.15,18575
2014-01-06,193.57,12918
2014-02-06,192.91,13510
2014-03-06,192.99,14007
2014-04-06,192.87,14625
2014-05-06,192.7,15132
2014-06-06,192.23,15684
2014-07-06,191.92,16167
2014-08-06,191.61,16743
2014-09-06,191.22,17106
2014-10-06,190.84,17430
2014-11-06,190.77,17905
2014-12-06,190.11,18594
2014-01-07,193.51,12945
2014-02-07,192.9,13531
2014-03-07,192.93,14026
2014-04-07,192.86,14642
2014-05-07,192.68,15156
2014-06-07,192.23,15694
2014-07-07,191.87,16190
2014-08-07,191.55,16757
2014-09-07,191.25,17118
2014-10-07,190.86,17437
2014-11-07,190.76,17925
2014-12-07,190.14,18618
2014-01-08,193.53,12955
2014-02-08,192.92,13550
2014-03-08,192.95,14044
2014-04-08,192.79,14663
2014-05-08,192.67,15173
2014-06-08,192.2,15709
2014-07-08,191.86,16208
2014-08-08,191.54,16773
2014-09-08,191.2,17129
2014-10-08,190.86,17443
2014-11-08,190.71,17949
2014-12-08,190.17,18638
2014-01-09,193.54,12980
2014-02-09,192.92,13568
2014-03-09,193.01,14057
2014-04-09,192.78,14683
2014-05-09,192.62,15192
2014-06-09,192.16,15720
2014-07-09,191.88,16232
2014-08-09,191.51,16793
2014-09-09,191.24,17138
2014-10-09,190.89,17454
2014-11-09,190.66,17975
2014-12-09,190.1,18662
2014-01-10,193.5,13001
2014-02-10,192.86,13591
2014-03-10,193.01,14074
2014-04-10,192.8,14696
2014-05-10,192.65,15212
2014-06-10,192.17,15732
2014-07-10,191.9,16255
2014-08-10,191.51,16811
2014-09-10,191.24,17147
2014-10-10,190.88,17463
2014-11-10,190.7,17996
2014-12-10,190.11,18683
2014-01-11,193.5,13013
2014-02-11,192.9,13609
2014-03-11,192.93,14093
2014-04-11,191.95,14710
2014-05-11,192.61,15227
2014-06-11,192.13,15747
2014-07-11,191.87,16279
2014-08-11,191.55,16829
2014-09-11,191.23,17151
2014-10-11,190.88,17476
2014-11-11,190.66,18019
2014-12-11,190.1,18710
2014-01-12,193.51,13025
2014-02-12,192.89,13618
2014-03-12,192.89,14121
2014-04-12,191.96,14726
2014-05-12,192.64,15241
2014-06-12,192.06,15768
2014-07-12,191.82,16297
2014-08-12,191.61,16839
2014-09-12,191.24,17162
2014-10-12,190.9,17486
2014-11-12,190.63,18040
2014-12-12,190.09,18737
2014-01-13,193.46,13039
2014-02-13,192.93,13636
2014-03-13,192.94,14139
2014-04-13,191.99,14744
2014-05-13,192.55,15267
2014-06-13,192.07,15782
2014-07-13,191.82,16317
2014-08-13,191.63,16853
2014-09-13,191.19,17175
2014-10-13,190.91,17495
2014-11-13,190.58,18069
2014-12-13,190.04,18759
2014-01-14,193.39,13059
2014-02-14,192.89,13645
2014-03-14,192.94,14155
2014-04-14,192.05,14758
2014-05-14,192.5,15278
2014-06-14,192.06,15791
2014-07-14,191.75,16333
2014-08-14,191.58,16870
2014-09-14,191.22,17183
2014-10-14,190.92,17506
2014-11-14,190.49,18093
2014-12-14,189.99,18776
2014-01-15,193.38,13080
2014-02-15,192.86,13666
2014-03-15,192.95,14170
2014-04-15,192.02,14778
2014-05-15,192.51,15290
2014-06-15,192.07,15800
2014-07-15,191.72,16355
2014-08-15,191.6,16881
2014-09-15,191.19,17195
2014-10-15,190.9,17518
2014-11-15,190.43,18113
2014-12-15,189.92,18797
2014-01-16,193.29,13097
2014-02-16,192.83,13679
2014-03-16,192.92,14186
2014-04-16,192.01,14796
2014-05-16,192.44,15311
2014-06-16,192.08,15817
2014-07-16,191.7,16368
2014-08-16,191.59,16900
2014-09-16,191.15,17205
2014-10-16,190.91,17522
2014-11-16,190.35,18142
2014-12-16,189.82,18826
2014-01-17,193.23,13118
2014-02-17,192.87,13699
2014-03-17,192.93,14208
2014-04-17,192.0,14807
2014-05-17,192.45,15330
2014-06-17,192.0,15834
2014-07-17,191.72,16390
2014-08-17,191.54,16915
2014-09-17,191.17,17215
2014-10-17,190.88,17532
2014-11-17,190.34,18170
2014-12-17,189.77,18840
2014-01-18,193.2,13134
2014-02-18,192.92,13708
2014-03-18,192.93,14229
2014-04-18,191.99,14826
2014-05-18,192.39,15343
2014-06-18,192.01,15852
2014-07-18,191.76,16415
2014-08-18,191.54,16932
2014-09-18,191.18,17226
2014-10-18,190.87,17542
2014-11-18,190.32,18201
2014-12-18,189.79,18882
2014-01-19,193.2,13144
2014-02-19,192.93,13729
2014-03-19,193.01,14252
2014-04-19,192.05,14844
2014-05-19,192.38,15356
2014-06-19,192.0,15878
2014-07-19,191.74,16434
2014-08-19,191.52,16943
2014-09-19,191.19,17233
2014-10-19,190.86,17552
2014-11-19,190.35,18224
2014-12-19,189.72,18897
2014-01-20,193.19,13164
2014-02-20,192.92,13749
2014-03-20,193.01,14276
2014-04-20,192.02,14860
2014-05-20,192.4,15372
2014-06-20,192.0,15892
2014-07-20,191.7,16454
2014-08-20,191.52,16946
2014-09-20,191.15,17247
2014-10-20,190.83,17563
2014-11-20,190.34,18253
2014-12-20,189.67,18922
2014-01-21,193.21,13187
2014-02-21,192.87,13762
2014-03-21,192.99,14299
2014-04-21,192.02,14881
2014-05-21,192.43,15388
2014-06-21,191.98,15905
2014-07-21,191.7,16472
2014-08-21,191.54,16959
2014-09-21,191.12,17260
2014-10-21,190.82,17571
2014-11-21,190.35,18271
2014-12-21,189.62,18944
2014-01-22,193.2,13203
2014-02-22,192.84,13776
2014-03-22,193.0,14318
2014-04-22,191.98,14897
2014-05-22,192.42,15400
2014-06-22,191.96,15919
2014-07-22,191.69,16489
2014-08-22,191.47,16971
2014-09-22,191.09,17273
2014-10-22,190.88,17582
2014-11-22,190.34,18292
2014-12-22,189.66,18972
2014-01-23,193.18,13222
2014-02-23,192.82,13787
2014-03-23,192.99,14335
2014-04-23,191.96,14917
2014-05-23,192.4,15423
2014-06-23,191.99,15942
2014-07-23,191.67,16506
2014-08-23,191.41,16983
2014-09-23,191.07,17283
2014-10-23,190.92,17601
2014-11-23,190.31,18322
2014-12-23,189.63,18986
2014-01-24,193.13,13247
2014-02-24,192.91,13808
2014-03-24,192.9,14360
2014-04-24,191.93,14933
2014-05-24,192.35,15442
2014-06-24,191.97,15964
2014-07-24,191.65,16522
2014-08-24,191.41,16989
2014-09-24,191.03,17296
2014-10-24,190.94,17615
2014-11-24,190.31,18337
2014-12-24,189.58,19006
2014-01-25,193.05,13270
2014-02-25,192.92,13819
2014-03-25,192.88,14377
2014-04-25,191.92,14952
2014-05-25,192.3,15463
2014-06-25,191.99,15977
2014-07-25,191.67,16539
2014-08-25,191.41,16996
2014-09-25,191.02,17305
2014-10-25,190.97,17635
2014-11-25,190.33,18366
2014-12-25,189.54,19017
2014-01-26,192.98,13290
2014-02-26,192.99,13841
2014-03-26,192.94,14394
2014-04-26,191.91,14966
2014-05-26,192.29,15480
2014-06-26,191.93,15993
2014-07-26,191.6,16557
2014-08-26,191.45,17003
2014-09-26,191.04,17309
2014-10-26,190.94,17652
2014-11-26,190.33,18391
2014-12-26,189.52,19041
2014-01-27,192.98,13307
2014-02-27,192.96,13861
2014-03-27,192.99,14417
2014-04-27,191.89,14981
2014-05-27,192.29,15494
2014-06-27,191.94,16013
2014-07-27,191.58,16567
2014-08-27,191.46,17013
2014-09-27,191.05,17319
2014-10-27,190.94,17677
2014-11-27,190.32,18400
2014-12-27,189.45,19066
2014-01-28,193.01,13339
2014-02-28,192.93,13889
2014-03-28,193.0,14439
2014-04-28,191.88,14997
2014-05-28,192.31,15513
2014-06-28,191.94,16034
2014-07-28,191.55,16585
2014-08-28,191.43,17019
2014-09-28,191.03,17331
2014-10-28,190.98,17701
2014-11-28,190.33,18414
2014-12-28,189.42,19085
2014-01-29,192.91,13355
2014-03-29,192.99,14457
2014-04-29,191.86,15019
2014-05-29,192.29,15533
2014-06-29,191.98,16054
2014-07-29,191.56,16603
2014-08-29,191.39,17028
2014-09-29,191.03,17343
2014-10-29,190.98,17718
2014-11-29,190.26,18435
2014-12-29,189.41,19107
2014-01-30,192.86,13374
2014-03-30,193.02,14480
2014-04-30,191.9,15029
2014-05-30,192.25,15544
2014-06-30,191.95,16073
2014-07-30,191.57,16621
2014-08-30,191.38,17038
2014-09-30,190.98,17357
2014-10-30,191.01,17738
2014-11-30,190.26,18452
2014-12-30,189.37,19124
2014-01-31,192.82,13391
2014-03-31,193.01,14501
2014-05-31,192.26,15561
2014-07-31,191.61,16635
2014-08-31,191.36,17049
2014-10-31,191.03,17758
2014-12-31,189.38,19140
