date,Price of Medium Quality,MedQN
2014-01-01,287.23,3644
2014-02-01,287.69,3815
2014-03-01,287.38,3958
2014-04-01,286.74,4118
2014-05-01,285.96,4257
2014-06-01,285.11,4406
2014-07-01,283.47,4537
2014-08-01,283.21,4725
2014-09-01,283.33,4872
2014-10-01,282.85,5001
2014-11-01,283.0,5127
2014-12-01,283.11,5339
2014-01-02,287.25,3648
2014-02-02,287.78,3819
2014-03-02,287.33,3959
2014-04-02,286.7,4124
2014-05-02,286.04,4265
2014-06-02,285.08,4410
2014-07-02,283.38,4542
2014-09-02,283.33,4875
2014-10-02,282.96,5003
2014-11-02,283.02,5135
2014-12-02,283.12,5342
2014-01-03,287.32,3657
2014-02-03,287.79,3826
2014-03-03,287.36,3963
2014-04-03,286.72,4126
2014-05-03,286.11,4266
2014-06-03,285.25,4415
2014-07-03,283.54,4547
2014-08-03,283.14,4735
2014-09-03,283.34,4879
2014-10-03,283.02,5005
2014-11-03,282.97,5139
2014-12-03,283.01,5345
2014-01-04,287.31,3662
2014-02-04,287.72,3829
2014-03-04,287.36,3972
2014-04-04,286.71,4130
2014-05-04,285.98,4272
2014-06-04,285.2,4416
2014-07-04,283.61,4551
2014-08-04,283.29,4743
2014-09-04,283.27,4884
2014-10-04,283.04,5010
2014-11-04,283.18,5148
2014-12-04,282.97,5349
2014-01-05,287.3,3663
2014-02-05,287.71,3835
2014-03-05,287.3,3981
2014-04-05,286.77,4135
2014-05-05,286.21,4277
2014-06-05,285.3,4420
2014-07-05,283.35,4556
2014-08-05,283.27,4748
2014-09-05,283.27,4889
2014-10-05,283.05,5014
2014-11-05,283.07,5159
2014-12-05,282.9,5351
2014-01-06,287.41,3667
2014-02-06,287.78,3837
2014-03-06,287.35,3982
2014-04-06,286.63,4141
2014-05-06,286.33,4280
2014-06-06,285.25,4421
2014-07-06,283.25,4561
2014-08-06,283.3,4752
2014-09-06,283.23,4890
2014-10-06,283.16,5020
2014-11-06,283.22,5169
2014-12-06,282.97,5359
2014-01-07,287.61,3674
2014-02-07,287.8,3843
2014-03-07,287.43,3985
2014-04-07,286.55,4146
2014-05-07,286.28,4286
2014-06-07,285.18,4430
2014-07-07,283.39,4575
2014-08-07,283.21,4761
2014-09-07,283.27,4893
2014-10-07,283.21,5026
2014-11-07,283.2,5174
2014-12-07,282.99,5363
2014-01-08,287.63,3677
2014-02-08,287.73,3844
2014-03-08,287.53,3989
2014-04-08,286.61,4149
2014-05-08,286.27,4289
2014-06-08,285.14,4432
2014-07-08,283.42,4586
2014-08-08,283.27,4769
2014-09-08,283.17,4900
2014-10-08,283.22,5029
2014-11-08,283.22,5179
2014-12-08,283.01,5370
2014-01-09,287.58,3679
2014-02-09,287.68,3853
2014-03-09,287.33,3994
2014-04-09,286.53,4154
2014-05-09,286.35,4291
2014-06-09,285.14,4439
2014-07-09,283.29,4592
2014-08-09,283.27,4774
2014-09-09,283.27,4903
2014-10-09,283.28,5032
2014-11-09,283.3,5186
2014-12-09,282.86,5377
2014-01-10,287.52,3686
2014-02-10,287.73,3858
2014-03-10,287.17,4001
2014-04-10,286.32,4158
2014-05-10,286.25,4295
2014-06-10,285.13,4443
2014-07-10,283.3,4601
2014-08-10,283.17,4786
2014-09-10,283.35,4906
2014-10-10,283.21,5037
2014-11-10,283.29,5188
2014-12-10,282.79,5383
2014-01-11,287.51,3691
2014-02-11,287.76,3861
2014-03-11,287.02,4010
2014-04-11,286.27,4159
2014-05-11,286.19,4296
2014-06-11,285.22,4447
2014-07-11,283.16,4610
2014-08-11,283.19,4792
2014-09-11,283.22,4914
2014-10-11,283.37,5044
2014-11-11,283.34,5195
2014-12-11,282.8,5387
2014-01-12,287.54,3698
2014-02-12,287.64,3868
2014-03-12,287.11,4018
2014-04-12,286.3,4160
2014-05-12,286.06,4300
2014-06-12,285.23,4451
2014-07-12,283.15,4621
2014-08-12,283.18,4799
2014-09-12,283.32,4920
2014-10-12,283.22,5049
2014-11-12,283.37,5197
2014-12-12,282.89,5395
2014-01-13,287.4,3703
2014-02-13,287.65,3876
2014-03-13,287.15,4024
2014-04-13,286.22,4164
2014-05-13,286.12,4307
2014-06-13,285.34,4454
2014-07-13,283.02,4625
2014-08-13,283.14,4804
2014-09-13,283.29,4925
2014-10-13,283.08,5053
2014-11-13,283.34,5203
2014-12-13,282.86,5402
2014-01-14,287.44,3708
2014-02-14,287.67,3880
2014-03-14,287.08,4030
2014-04-14,286.17,4168
2014-05-14,286.11,4316
2014-06-14,285.28,4458
2014-07-14,282.95,4629
2014-08-14,283.1,4809
2014-09-14,283.22,4927
2014-10-14,283.17,5057
2014-11-14,283.29,5205
2014-12-14,282.91,5409
2014-01-15,287.24,3714
2014-02-15,287.61,3881
2014-03-15,286.98,4034
2014-04-15,286.22,4175
2014-05-15,286.06,4321
2014-06-15,285.29,4462
2014-07-15,283.04,4634
2014-08-15,283.19,4812
2014-09-15,283.21,4929
2014-10-15,282.98,5063
2014-11-15,283.36,5212
2014-12-15,282.84,5418
2014-01-16,287.22,3720
2014-02-16,287.41,3889
2014-03-16,286.86,4036
2014-04-16,286.35,4181
