State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
Illinois,359.74,4008,287.23,3644,181.25,329,1/1/14
Illinois,356.89,4192,287.69,3815,176.36,353,2/1/14
Illinois,358.11,4357,287.38,3958,177.98,362,3/1/14
Illinois,357.42,4508,286.74,4118,189.87,376,4/1/14
Illinois,356.65,4640,285.96,4257,189.38,383,5/1/14
Illinois,356.17,4748,285.11,4406,190.37,394,6/1/14
Illinois,355.82,4870,283.47,4537,190.65,402,7/1/14
Illinois,355.78,5004,283.21,4725,194,408,8/1/14
Illinois,355.94,5134,283.33,4872,NA,412,9/1/14
Illinois,356.47,5220,282.85,5001,NA,420,10/1/14
Illinois,355.5,5311,283,5127,NA,427,11/1/14
Illinois,354.85,5461,283.11,5339,NA,436,12/1/14
Illinois,359.68,4014,287.25,3648,180.57,331,1/2/14
Illinois,356.79,4198,287.78,3819,176.79,355,2/2/14
Illinois,358.04,4360,287.33,3959,177.98,362,3/2/14
Illinois,357.34,4516,286.7,4124,189.87,376,4/2/14
Illinois,356.67,4642,286.04,4265,189.38,383,5/2/14
Illinois,356.15,4749,285.08,4410,190.37,394,6/2/14
Illinois,355.76,4880,283.38,4542,190.65,402,7/2/14
Illinois,355.9,5138,283.33,4875,NA,412,9/2/14
Illinois,356.42,5226,282.96,5003,NA,420,10/2/14
Illinois,355.6,5320,283.02,5135,NA,428,11/2/14
Illinois,354.83,5465,283.12,5342,NA,436,12/2/14
Illinois,359.77,4021,287.32,3657,180.39,332,1/3/14
Illinois,356.69,4205,287.79,3826,177.09,356,2/3/14
Illinois,358.1,4364,287.36,3963,177.8,363,3/3/14
Illinois,357.34,4516,286.72,4126,189.87,376,4/3/14
Illinois,356.54,4647,286.11,4266,189.38,383,5/3/14
Illinois,356.16,4751,285.25,4415,190.37,394,6/3/14
Illinois,355.61,4884,283.54,4547,190.65,402,7/3/14
Illinois,355.71,5020,283.14,4735,194,408,8/3/14
Illinois,356.02,5144,283.34,4879,NA,412,9/3/14
Illinois,356.36,5227,283.02,5005,NA,420,10/3/14
Illinois,355.68,5325,282.97,5139,NA,430,11/3/14
Illinois,354.78,5466,283.01,5345,NA,436,12/3/14
Illinois,359.79,4022,287.31,3662,180.39,332,1/4/14
Illinois,356.6,4222,287.72,3829,177.09,356,2/4/14
Illinois,358.14,4370,287.36,3972,176.94,365,3/4/14
Illinois,357.29,4524,286.71,4130,189.87,376,4/4/14
Illinois,356.54,4650,285.98,4272,189.38,383,5/4/14
Illinois,356.18,4754,285.2,4416,190.14,395,6/4/14
Illinois,355.64,4886,283.61,4551,190.65,402,7/4/14
Illinois,355.63,5025,283.29,4743,193.54,409,8/4/14
Illinois,355.96,5145,283.27,4884,NA,412,9/4/14
Illinois,356.29,5230,283.04,5010,NA,420,10/4/14
Illinois,355.68,5328,283.18,5148,NA,430,11/4/14
Illinois,354.7,5470,282.97,5349,NA,436,12/4/14
Illinois,359.9,4030,287.3,3663,181.12,334,1/5/14
Illinois,356.52,4231,287.71,3835,176.42,358,2/5/14
Illinois,358.14,4373,287.3,3981,176.94,365,3/5/14
Illinois,357.32,4527,286.77,4135,189.87,376,4/5/14
Illinois,356.53,4651,286.21,4277,189.67,384,5/5/14
Illinois,356.35,4761,285.3,4420,189.96,396,6/5/14
Illinois,355.65,4887,283.35,4556,190.65,402,7/5/14
Illinois,355.62,5030,283.27,4748,193.54,409,8/5/14
Illinois,355.96,5145,283.27,4889,NA,412,9/5/14
Illinois,356.34,5232,283.05,5014,NA,420,10/5/14
Illinois,355.67,5336,283.07,5159,NA,430,11/5/14
Illinois,354.75,5480,282.9,5351,NA,436,12/5/14
Illinois,359.8,4039,287.41,3667,181.12,334,1/6/14
Illinois,356.46,4238,287.78,3837,176.42,358,2/6/14
Illinois,358.11,4379,287.35,3982,176.94,365,3/6/14
Illinois,357.12,4535,286.63,4141,189.87,376,4/6/14
Illinois,356.52,4660,286.33,4280,189.67,384,5/6/14
Illinois,356.35,4762,285.25,4421,189.96,396,6/6/14
Illinois,355.67,4890,283.25,4561,190.77,403,7/6/14
Illinois,355.61,5039,283.3,4752,193.54,409,8/6/14
Illinois,355.97,5151,283.23,4890,NA,412,9/6/14
Illinois,356.36,5236,283.16,5020,NA,420,10/6/14
Illinois,355.72,5337,283.22,5169,NA,430,11/6/14
Illinois,354.58,5485,282.97,5359,NA,437,12/6/14
Illinois,359.78,4045,287.61,3674,181.12,334,1/7/14
Illinois,356.34,4245,287.8,3843,176.42,358,2/7/14
Illinois,358.05,4385,287.43,3985,176.94,365,3/7/14
Illinois,357.13,4537,286.55,4146,189.87,376,4/7/14
Illinois,356.36,4664,286.28,4286,189.41,386,5/7/14
Illinois,356.23,4766,285.18,4430,189.96,396,6/7/14
Illinois,355.74,4897,283.39,4575,190.77,403,7/7/14
Illinois,355.73,5046,283.21,4761,193.54,409,8/7/14
Illinois,355.92,5155,283.27,4893,NA,413,9/7/14
Illinois,356.32,5239,283.21,5026,NA,420,10/7/14
Illinois,355.76,5340,283.2,5174,NA,431,11/7/14
Illinois,354.58,5489,282.99,5363,NA,438,12/7/14
Illinois,359.73,4049,287.63,3677,181.12,334,1/8/14
Illinois,356.23,4253,287.73,3844,176.42,358,2/8/14
Illinois,357.96,4391,287.53,3989,176.52,366,3/8/14
Illinois,357.22,4543,286.61,4149,189.63,377,4/8/14
Illinois,356.33,4666,286.27,4289,189.41,386,5/8/14
Illinois,356.28,4770,285.14,4432,189.96,396,6/8/14
Illinois,355.8,4908,283.42,4586,190.77,403,7/8/14
Illinois,355.91,5053,283.27,4769,193.46,410,8/8/14
Illinois,355.98,5158,283.17,4900,NA,414,9/8/14
Illinois,356.2,5242,283.22,5029,NA,420,10/8/14
Illinois,355.77,5345,283.22,5179,NA,431,11/8/14
Illinois,354.48,5502,283.01,5370,NA,438,12/8/14
Illinois,359.71,4057,287.58,3679,181.12,334,1/9/14
Illinois,356.25,4258,287.68,3853,176.42,358,2/9/14
Illinois,357.95,4393,287.33,3994,176.52,366,3/9/14
Illinois,357.13,4546,286.53,4154,189.63,377,4/9/14
Illinois,356.32,4671,286.35,4291,189.41,386,5/9/14
Illinois,356.3,4773,285.14,4439,189.96,396,6/9/14
Illinois,355.88,4912,283.29,4592,190.77,403,7/9/14
Illinois,355.84,5056,283.27,4774,193.46,410,8/9/14
Illinois,356.1,5165,283.27,4903,NA,414,9/9/14
Illinois,356.21,5243,283.28,5032,NA,420,10/9/14
Illinois,355.77,5347,283.3,5186,NA,432,11/9/14
Illinois,354.47,5507,282.86,5377,NA,438,12/9/14
Illinois,359.64,4061,287.52,3686,180.81,335,1/10/14
Illinois,356.14,4263,287.73,3858,176.42,358,2/10/14
Illinois,357.95,4396,287.17,4001,176.52,366,3/10/14
Illinois,356.98,4552,286.32,4158,189.63,377,4/10/14
Illinois,356.29,4673,286.25,4295,189.41,386,5/10/14
Illinois,356.29,4778,285.13,4443,189.96,396,6/10/14
Illinois,355.91,4918,283.3,4601,190.77,403,7/10/14
Illinois,355.68,5061,283.17,4786,193.46,410,8/10/14
Illinois,356.25,5170,283.35,4906,NA,414,9/10/14
Illinois,356.21,5243,283.21,5037,NA,420,10/10/14
Illinois,355.7,5353,283.29,5188,NA,433,11/10/14
Illinois,354.54,5512,282.79,5383,NA,438,12/10/14
Illinois,359.61,4066,287.51,3691,180.75,336,1/11/14
Illinois,356.07,4267,287.76,3861,176.42,358,2/11/14
Illinois,358.05,4402,287.02,4010,176.11,367,3/11/14
Illinois,356.92,4558,286.27,4159,189.63,377,4/11/14
Illinois,356.29,4676,286.19,4296,189.41,386,5/11/14
Illinois,356.33,4784,285.22,4447,189.96,396,6/11/14
Illinois,356,4922,283.16,4610,190.77,403,7/11/14
Illinois,355.74,5065,283.19,4792,193.46,410,8/11/14
Illinois,356.26,5171,283.22,4914,NA,414,9/11/14
Illinois,356.19,5245,283.37,5044,NA,420,10/11/14
Illinois,355.65,5356,283.34,5195,NA,433,11/11/14
Illinois,354.53,5520,282.8,5387,NA,438,12/11/14
Illinois,359.54,4070,287.54,3698,180.75,336,1/12/14
Illinois,355.98,4269,287.64,3868,176.42,358,2/12/14
Illinois,358.03,4408,287.11,4018,176.11,367,3/12/14
Illinois,356.93,4559,286.3,4160,189.63,377,4/12/14
Illinois,356.26,4678,286.06,4300,189.41,386,5/12/14
Illinois,356.27,4790,285.23,4451,189.96,396,6/12/14
Illinois,356.05,4926,283.15,4621,190.77,403,7/12/14
Illinois,355.68,5069,283.18,4799,193.46,410,8/12/14
Illinois,356.28,5173,283.32,4920,NA,415,9/12/14
Illinois,356.25,5246,283.22,5049,NA,420,10/12/14
Illinois,355.71,5359,283.37,5197,NA,433,11/12/14
Illinois,354.52,5526,282.89,5395,NA,438,12/12/14
Illinois,359.49,4074,287.4,3703,180.75,336,1/13/14
Illinois,355.86,4273,287.65,3876,176.42,358,2/13/14
Illinois,358.08,4412,287.15,4024,176.11,367,3/13/14
Illinois,356.97,4562,286.22,4164,189.63,377,4/13/14
Illinois,356.23,4679,286.12,4307,189.41,386,5/13/14
Illinois,356.32,4792,285.34,4454,189.96,396,6/13/14
Illinois,356.04,4928,283.02,4625,190.55,404,7/13/14
Illinois,355.72,5079,283.14,4804,193.46,410,8/13/14
Illinois,356.3,5178,283.29,4925,NA,417,9/13/14
Illinois,356.21,5251,283.08,5053,NA,420,10/13/14
Illinois,355.68,5365,283.34,5203,NA,433,11/13/14
Illinois,354.45,5533,282.86,5402,NA,438,12/13/14
Illinois,359.58,4078,287.44,3708,180.75,336,1/14/14
Illinois,355.89,4279,287.67,3880,176.42,358,2/14/14
Illinois,358.16,4414,287.08,4030,176.11,367,3/14/14
Illinois,356.95,4570,286.17,4168,189.63,377,4/14/14
Illinois,356.06,4688,286.11,4316,189.18,387,5/14/14
Illinois,356.24,4795,285.28,4458,189.96,396,6/14/14
Illinois,355.99,4929,282.95,4629,190.55,404,7/14/14
Illinois,355.83,5085,283.1,4809,193.46,410,8/14/14
Illinois,356.28,5180,283.22,4927,NA,417,9/14/14
Illinois,356.18,5253,283.17,5057,NA,420,10/14/14
Illinois,355.65,5371,283.29,5205,NA,433,11/14/14
Illinois,354.41,5536,282.91,5409,NA,439,12/14/14
Illinois,359.61,4080,287.24,3714,180.29,337,1/15/14
Illinois,355.78,4288,287.61,3881,176.42,358,2/15/14
Illinois,358.26,4419,286.98,4034,176.11,367,3/15/14
Illinois,356.92,4577,286.22,4175,189.63,377,4/15/14
Illinois,355.99,4692,286.06,4321,189.18,387,5/15/14
Illinois,356.28,4804,285.29,4462,190.2,397,6/15/14
Illinois,355.93,4932,283.04,4634,190.55,404,7/15/14
Illinois,355.83,5090,283.19,4812,193.46,410,8/15/14
Illinois,356.28,5181,283.21,4929,NA,417,9/15/14
Illinois,356.11,5259,282.98,5063,NA,421,10/15/14
Illinois,355.61,5378,283.36,5212,NA,433,11/15/14
Illinois,354.39,5542,282.84,5418,NA,439,12/15/14
Illinois,359.63,4085,287.22,3720,181.27,343,1/16/14
Illinois,355.8,4290,287.41,3889,176.42,358,2/16/14
Illinois,358.15,4424,286.86,4036,176.11,367,3/16/14
Illinois,356.92,4579,286.35,4181,189.63,377,4/16/14
Illinois,356,4697,286.01,4325,188.97,389,5/16/14
Illinois,356.31,4806,285.21,4467,190.2,397,6/16/14
Illinois,355.97,4937,283.05,4640,190.55,404,7/16/14
Illinois,355.77,5093,283.18,4816,193.46,410,8/16/14
Illinois,356.29,5185,283.15,4935,NA,417,9/16/14
Illinois,356.09,5262,282.93,5066,NA,421,10/16/14
Illinois,355.58,5381,283.4,5219,NA,434,11/16/14
Illinois,354.38,5550,282.73,5429,NA,439,12/16/14
Illinois,359.52,4090,287.24,3725,181.27,343,1/17/14
Illinois,355.75,4292,287.37,3894,176.42,358,2/17/14
Illinois,358.06,4426,286.84,4039,176.11,367,3/17/14
Illinois,356.87,4586,286.23,4184,189.63,377,4/17/14
Illinois,356.04,4699,285.98,4329,188.97,389,5/17/14
Illinois,356.29,4809,285.14,4472,190.2,397,6/17/14
Illinois,356.06,4942,282.97,4643,190.55,404,7/17/14
Illinois,355.8,5094,283.23,4824,193.39,412,8/17/14
Illinois,356.28,5187,283.11,4939,NA,417,9/17/14
Illinois,356.09,5265,282.9,5068,NA,421,10/17/14
Illinois,355.44,5388,283.22,5227,NA,434,11/17/14
Illinois,354.32,5555,282.78,5439,NA,441,12/17/14
Illinois,357,4096,287.31,3732,180.97,344,1/18/14
Illinois,355.82,4303,287.45,3899,177.54,359,2/18/14
